camp_name,address,category,director,operator,city,state,accredited-member,programs,zip_code,nogeo,latitude,longitude
Camp Sacajawea,,Girl Scouts of the USA,Caitlyn Wyand,Girl Scouts - Central & Southern New Jersey,Newfield,NJ,Accredited Member,2.0,,"nan, Newfield, NJ, nan, USA",39.54652859999999,-75.02497079999999
AstroCamp,26800 Saunders Meadow Rd,"Independent, Not for Profit",Matt Mishelow,Guided Discoveries Inc,Idyllwild,CA,Accredited Member,1.0,26800,"26800 Saunders Meadow Rd, Idyllwild, CA, 26800, USA",33.7346749,-116.714689
Camp Hidden Meadows,17739 Potomac Highland Trl,"Independent, For Profit",Tom Bryant,Camp Hidden Meadows (Operator),Bartow,WV,Accredited Member,1.0,17739,"17739 Potomac Highland Trl, Bartow, WV, 17739, USA",38.533479,-79.77327629999999
Camp Timberlane,13408 Green Rd,Girl Scouts of the USA,Catie Hewitt,Girl Scouts - North East Ohio,Wakeman,OH,Accredited Member,1.0,13408,"13408 Green Rd, Wakeman, OH, 13408, USA",41.2969938,-82.3428292
Camp Moshava of Wild Rose WI,W8256 County Road P,"Jewish, Orthodox",Dikla Weitzner,"Camp Moshava of Wild Rose, WI",Wild Rose,WI,Accredited Member,1.0,54984-6280,"W8256 County Road P, Wild Rose, WI, 54984-6280, USA",44.22649699999999,-89.28991599999999
Camp Quest North - Iowa,1450 Oriole RdBoone,Atheist/Humanist,,Camp Quest North (Operator),Madrid,IA,Accredited Member,1.0,50036,"1450 Oriole RdBoone, Madrid, IA, 50036, USA",42.00066109999999,-93.8960141
Camp Kinder Ring,335 Sylvan Lake Rd,"Jewish, Other",Dr. Marc Rauch,Circle Lodge and Kinder Ring of the Workman's Circle INC,Hopewell Junction,NY,Accredited Member,2.0,12533-5428,"335 Sylvan Lake Rd, Hopewell Junction, NY, 12533-5428, USA",41.60643839999999,-73.7342523
Kamp Kohut,151 Kohut Rd,"Independent, For Profit",Lisa Tripler,Kamp Kohut (Operator),Oxford,ME,Accredited Member,2.0,04270-4812,"151 Kohut Rd, Oxford, ME, 04270-4812, USA",44.0772869,-70.484425
Metigoshe Ministries,2051 105th St NE,"Lutheran, ELCA",Rev. Jonathan Halvorson,Metigoshe Ministries (Operator) (LOM),Bottineau,ND,Accredited Member,1.0,58318-6145,"2051 105th St NE, Bottineau, ND, 58318-6145, USA",48.9367094,-100.2599417
Camp Susque,47 Susque Camp Rd,Nondenominational Christian,Michael Miosi,Camp Susque Inc,Trout Run,PA,Accredited Member,2.0,17771-8487,"47 Susque Camp Rd, Trout Run, PA, 17771-8487, USA",41.4167711,-77.03076999999999
St Nicholas Summer Camp,11770 Frontier Rd,Greek Orthodox,Katrina Bitar,Antiochian Village (Operator),Frazier Park,CA,Accredited Member,1.0,11770,"11770 Frontier Rd, Frazier Park, CA, 11770, USA",34.8395989,-119.0905479
St Mary of Egypt Camp,"7790 Marion Rd SETurner, OR",Greek Orthodox,,Antiochian Village (Operator),Post Falls,ID,Accredited Member,1.0,97392-9812,"7790 Marion Rd SETurner, OR, Post Falls, ID, 97392-9812, USA",43.8041334,-120.5542012
Modin,51 Modin Way,"Jewish, Conservative",Howard Salzberg & Lisa Wulkan,Modin (Operator),Belgrade,ME,Accredited Member,1.0,04917-3243,"51 Modin Way, Belgrade, ME, 04917-3243, USA",44.5271829,-69.7903505
New Life Camp,9927 Falls of Neuse Rd,Nondenominational Christian,John Dorman,New Life Camp (Operator),Raleigh,NC,Accredited Member,1.0,27614-9770,"9927 Falls of Neuse Rd, Raleigh, NC, 27614-9770, USA",35.9116573,-78.6032452
Camp Chippewa For Boys,22767 Cap Endres Rd SE,"Independent, Not for Profit",Mike Endres,Camp Chippewa Foundation,Cass Lake,MN,Accredited Member,1.0,22767,"22767 Cap Endres Rd SE, Cass Lake, MN, 22767, USA",47.4639979,-94.553552
Indian Creek Camp,150 Cabin Circle Dr,Seventh-day Adventist,Edward Marton,Kentucky Tennessee Conference (SDA),Liberty,TN,Accredited Member,1.0,37095-4079,"150 Cabin Circle Dr, Liberty, TN, 37095-4079, USA",36.0479283,-85.8573802
Camp Alice Pittenger,2111 Pilgrim Cove,Girl Scouts of the USA,Dana Gillespie,Girl Scouts - Silver Sage,McCall,ID,Accredited Member,1.0,83638,"2111 Pilgrim Cove, McCall, ID, 83638, USA",44.9368602,-116.0740408
Conshatawba,288 Oaks Rd,Girl Scouts of the USA,Meredith Sortwell,Girl Scouts - Western Pennsylvania,Summerhill,PA,Accredited Member,1.0,15958-3303,"288 Oaks Rd, Summerhill, PA, 15958-3303, USA",40.3799868,-78.7537164
YMCA Camp Mohawk Inc,,YMCA,Patrick Marchand,YMCA Camp Mohawk Inc (Operator),Litchfield,CT,Accredited Member,1.0,,"nan, Litchfield, CT, nan, USA",41.7475274,-73.1880152
Camp Somerset for Girls,11 Somerset Lane,"Independent, For Profit",Josh Hahn and Kate Auerbach,Manitou (Operator),Smithfield,ME,Accredited Member,1.0,04978-3306,"11 Somerset Lane, Smithfield, ME, 04978-3306, USA",45.3484416,-69.0529041
Beam Camp,55 Boy Scout Rd,"Independent, Not for Profit",Brett Ricard and Pearl Cohen,"Beam Center, Inc.",Strafford,NH,Accredited Member,1.0,03884-6502,"55 Boy Scout Rd, Strafford, NH, 03884-6502, USA",43.2912093,-71.1854408
Kamp Kiwanis,"9020 Kiwanis RdTaberg, NY",Kiwanis Club,Daniel Trader,Kamp Kiwanis (Operator),Eclectic,AL,Accredited Member,1.0,13471-2727,"9020 Kiwanis RdTaberg, NY, Eclectic, AL, 13471-2727, USA",43.2994285,-74.21793260000001
Kamp Kiwanis,9020 Kiwanis Rd,Kiwanis Club,Daniel Trader,Kamp Kiwanis (Operator),Taberg,NY,Accredited Member,1.0,13471-2727,"9020 Kiwanis Rd, Taberg, NY, 13471-2727, USA",43.2982386,-75.5691578
Blue Mountain Ranch,11227 County Rd 98,,,Blue Mountain Ranch (Operator),Florissant,CO,Accredited Member,1.0,11227,"11227 County Rd 98, Florissant, CO, 11227, USA",38.9277469,-105.3323788
Camp LEO,67404 State Route 410 E,Diabetes Education & Camping Association,,Type 1 United,Enumclaw,WA,Accredited Member,1.0,67404,"67404 State Route 410 E, Enumclaw, WA, 67404, USA",46.9719498,-121.5343405
National Flight Academy,1 Fetterman Way,School (Elementary/Middle/High),,National Flight Academy LLC,Pensacola,FL,Accredited Member,2.0,32508-5024,"1 Fetterman Way, Pensacola, FL, 32508-5024, USA",30.3502911,-87.3025364
Bryn Mawr Camp,593 Bryn Mawr Rd,"Independent, For Profit",Jane and Dan Kagan,"CampGroup, LLC (NYNJ)",Honesdale,PA,Accredited Member,1.0,18431-7884,"593 Bryn Mawr Rd, Honesdale, PA, 18431-7884, USA",41.6475599,-75.24717679999999
Camp Echo,"210 Echo RoadBurlingham, NY",,,Camp Echo (Operator),Fremont,MI,Accredited Member,4.0,12722,"210 Echo RoadBurlingham, NY, Fremont, MI, 12722, USA",43.2994285,-74.21793260000001
Camp Echo,210 Echo Road,,,Camp Echo (Operator),Burlingham,NY,Accredited Member,2.0,12722,"210 Echo Road, Burlingham, NY, 12722, USA",41.5899024,-74.38385509999999
Via West,13851 Stevens Canyon Rd,"Independent, Not for Profit",Alyssa Pecorino,Ability Path,Cupertino,CA,Accredited Member,1.0,13851,"13851 Stevens Canyon Rd, Cupertino, CA, 13851, USA",37.2800848,-122.075339
Eagle Island Camp,442 Gilpin Bay,"Independent, Not for Profit",Katrina Dearden,Eagle Island Camp (Operator),Saranac Lake,NY,Accredited Member,1.0,12983-3064,"442 Gilpin Bay, Saranac Lake, NY, 12983-3064, USA",44.2747073,-74.33261329999999
4-H Camp Shankitunk,2420 Arbor Hill Rd,4-H Clubs,Jon Conklin,New York State 4-H - NYNJ Camps,Delhi,NY,Accredited Member,1.0,13753-2211,"2420 Arbor Hill Rd, Delhi, NY, 13753-2211, USA",42.2474246,-74.9562921
Camp Carolina,1 Lambs Creek Rd,"Independent, For Profit",Alfred Thompson,Alfred Thompson (Operator),Brevard,NC,Accredited Member,1.0,28712-8518,"1 Lambs Creek Rd, Brevard, NC, 28712-8518, USA",35.2682432,-82.7329573
Northern Tier BSA,14790 Moose Lake Rd,Boy Scouts of America,Kevin Dowling,National Council BSA,Ely,MN,Accredited Member,1.0,14790,"14790 Moose Lake Rd, Ely, MN, 14790, USA",47.975424,-91.51302
Camp Zeke,31 Barry Watson Way,"Jewish, Other",Isaac Mamaysky,Camp Zeke (Operator),Lakewood,PA,Accredited Member,1.0,18439,"31 Barry Watson Way, Lakewood, PA, 18439, USA",41.8399678,-75.40794819999999
Eden Village Camp,392 Dennytown Rd,"Jewish, Other",Yoni Stadlin,Eden Village Camp (Operator),Putnam Valley,NY,Accredited Member,1.0,10579-1423,"392 Dennytown Rd, Putnam Valley, NY, 10579-1423, USA",41.41242,-73.86461059999999
Camp Needlepoint - ADA,532 County Road F,American Diabetes Association,Becky Barnett,American Diabetes Association - National Office (Accredited Camps),Hudson,WI,Accredited Member,1.0,54016-8006,"532 County Road F, Hudson, WI, 54016-8006, USA",44.9372553,-92.73457080000001
Luther Glen,39136 Harris Rd,"Lutheran, ELCA",,Lutheran Retreats Camps and Conference Center (LOM),Oak Glen,CA,Accredited Member,1.0,39136,"39136 Harris Rd, Oak Glen, CA, 39136, USA",34.0488739,-116.948921
YMCA Camp Greenville,4399 Ymca Camp Rd,YMCA,Cory Harrison,YMCA of Greenville SC,Cleveland,SC,Accredited Member,1.0,29635-9358,"4399 Ymca Camp Rd, Cleveland, SC, 29635-9358, USA",35.1334069,-82.58239929999999
Wanake Camp and Retreat Center,9463 Manchester Ave SW,United Methodist,Julie Lautt,East Ohio United Methodist (UMCRM),Beach City,OH,Accredited Member,1.0,44608-9510,"9463 Manchester Ave SW, Beach City, OH, 44608-9510, USA",40.6759191,-81.6008243
Tomahawk Ranch,2113 County Road 43,Girl Scouts of the USA,"Monica ""Obi Joe""",Girl Scouts - Colorado,Bailey,CO,Accredited Member,1.0,80421-2308,"2113 County Road 43, Bailey, CO, 80421-2308, USA",39.45947779999999,-105.4771878
Clyde Austin 4-H Center,214 4H Ln,4-H Clubs,Greg Fay,University of Tennessee,Greeneville,TN,Accredited Member,1.0,37743-8351,"214 4H Ln, Greeneville, TN, 37743-8351, USA",36.1063095,-82.8548206
Camp Cheerful,15000 Cheerful Ln,Parks and Recreation,,Achievement Center for Children,Strongsville,OH,Accredited Member,1.0,15000,"15000 Cheerful Ln, Strongsville, OH, 15000, USA",41.3329949,-81.8355629
YMCA Camp Mason,23 Birch Ridge Rd,YMCA,Anna Bilton,YMCA Camp Ralph S Mason Inc,Hardwick,NJ,Accredited Member,1.0,07825-9502,"23 Birch Ridge Rd, Hardwick, NJ, 07825-9502, USA",40.8970089,-74.9451033
Ocala Outdoor Adventure Camp,7325 NE 170th Ave,"Government, State/Federal",,Florida Fish and Wildlife,Silver Springs,FL,Accredited Member,1.0,34488-4342,"7325 NE 170th Ave, Silver Springs, FL, 34488-4342, USA",29.2333221,-81.8716017
YMCA Camp Belknap,35 Chase Point Rd,YMCA,Seth Kassels,YMCA Camp Belknap Inc,Mirror Lake,NH,Accredited Member,1.0,03853-6152,"35 Chase Point Rd, Mirror Lake, NH, 03853-6152, USA",43.6411358,-71.29222659999999
YMCA Camp Duncan,32405 N US Highway 12,YMCA,Bobby Thomas,YMCA of Metro Chicago,Volo,IL,Accredited Member,1.0,32405,"32405 N US Highway 12, Volo, IL, 32405, USA",42.3385114,-88.1617469
URJ Myron S. Goldman Union Camp Institute (GUCI),9349 Moore Rd,"Jewish, Reform",Jeremy Klotz,URJ Goldman Union Camp Institute,Zionsville,IN,Accredited Member,1.0,46077-9111,"9349 Moore Rd, Zionsville, IN, 46077-9111, USA",39.92286,-86.28473029999999
Camp Stella Maris Inc,4395 E Lake Rd,Roman Catholic,John Quinlivan,Camp Stella Maris Inc (Operator),Livonia,NY,Accredited Member,1.0,14487-9627,"4395 E Lake Rd, Livonia, NY, 14487-9627, USA",42.7860514,-77.70545
Riverview Camp for Girls,757 County Road 614,Nondenominational Christian,Susan C. Hooks,Riverview Camp for Girls (Operator),Mentone,AL,Accredited Member,1.0,35984-2434,"757 County Road 614, Mentone, AL, 35984-2434, USA",34.5402533,-85.604276
River Way Ranch Camp,6450 Elwood Rd,"Independent, For Profit",Ashley Crother-Oken,River Way Ranch Camp (Operator),Sanger,CA,Accredited Member,1.0,93657-9047,"6450 Elwood Rd, Sanger, CA, 93657-9047, USA",36.7911734,-119.3082986
Camp Omni - SoCal,41011 Jenks Lake Rd WAngelus Oaks,Atheist/Humanist,Megan Pike,Camp Omni (Operator),Wrightwood,CA,Accredited Member,1.0,41011,"41011 Jenks Lake Rd WAngelus Oaks, Wrightwood, CA, 41011, USA",34.1611051,-116.8675743
YMCA Camp MacLean,31401 Durand Ave,YMCA,Jeff Tremmel,YMCA of Metro Chicago,Burlington,WI,Accredited Member,1.0,31401,"31401 Durand Ave, Burlington, WI, 31401, USA",42.676257,-88.2488417
Camp Colorado - ADA,16565 County Road 162,American Diabetes Association,,American Diabetes Association - National Office (Accredited Camps),Nathrop,CO,Accredited Member,1.0,16565,"16565 County Road 162, Nathrop, CO, 16565, USA",38.7305449,-106.1745306
Camp Newaygo,5333 Centerline Rd,"Independent, Not for Profit",Jane Vitek,True North Community Services,Newaygo,MI,Accredited Member,1.0,49337-9625,"5333 Centerline Rd, Newaygo, MI, 49337-9625, USA",43.458251,-85.799795
Cho-Yeh Camp and Conference Center,2200 S Washington Ave,"Independent, Not for Profit",Garret Larsen,Cho-Yeh Camp and Conference Center (Operator),Livingston,TX,Accredited Member,2.0,77351-4058,"2200 S Washington Ave, Livingston, TX, 77351-4058, USA",30.6896408,-94.9366395
Camp Tapawingo,"1450 Hickory Point RdMetamora, IL",,,Girl Scouts - Central Illinois,Sweden,ME,Accredited Member,1.0,61548-7802,"1450 Hickory Point RdMetamora, IL, Sweden, ME, 61548-7802, USA",40.8012314,-89.4249498
Camp Tapawingo,1450 Hickory Point Rd,,,Girl Scouts - Central Illinois,Metamora,IL,Accredited Member,1.0,61548-7802,"1450 Hickory Point Rd, Metamora, IL, 61548-7802, USA",40.8012314,-89.4249498
KenMont and KenWood Camps,65 Kenmont Rd,"Independent, For Profit",Hylton Wener,KenMont and KenWood Camps (Operator),Kent,CT,Accredited Member,1.0,06757,"65 Kenmont Rd, Kent, CT, 06757, USA",41.724284,-73.432395
Camp Bonnie Brae,951 Algerie Rd,Girl Scouts of the USA,,Girl Scouts - Central & Western Massachusetts,East Otis,MA,Accredited Member,1.0,01029,"951 Algerie Rd, East Otis, MA, 01029, USA",42.1978917,-73.0337444
Camp Greenwood,13564 Macclain St,Presbyterian,Jacob Dayringer,Camp Greenwood (Operator) (Campfire Collective),Gowen,MI,Accredited Member,1.0,13564,"13564 Macclain St, Gowen, MI, 13564, USA",43.1976931,-85.33376179999999
Pine Tree Camps,3601 N Military Trl,"Independent, Not for Profit",Diane DiCerbo,Pine Tree Camps at Lynn Univ,Boca Raton,FL,Accredited Member,1.0,33431-5507,"3601 N Military Trl, Boca Raton, FL, 33431-5507, USA",26.3827887,-80.1239645
Madden Open Hearts Camp,250 Monument Valley Rd,"Independent, For Profit",,Edward J Madden Memorial,Great Barrington,MA,Accredited Member,1.0,01230-1466,"250 Monument Valley Rd, Great Barrington, MA, 01230-1466, USA",42.2335398,-73.3228178
St. Christopher,2810 Seabrook Island Rd,Episcopal,Renzi Ricketts,Saint Christopher Camp and Conference Center,Johns Island,SC,Accredited Member,1.0,29455-6219,"2810 Seabrook Island Rd, Johns Island, SC, 29455-6219, USA",32.5682392,-80.18309550000001
Berkshire Soccer Academy for Girls,PO Box 1323,"Independent, For Profit",Katy Kreiner and Paul Titley,Larkum Lake Operating Co. LLC,East Otis,MA,Accredited Member,1.0,01029-1323,"PO Box 1323, East Otis, MA, 01029-1323, USA",42.1568847,-73.0538097
EAA Air Academy,3000 Poberezny Rd,"Independent, Not for Profit",Bob Campbell,EAA Aviation Center (Operator),Oshkosh,WI,Accredited Member,1.0,54902-8939,"3000 Poberezny Rd, Oshkosh, WI, 54902-8939, USA",43.9844625,-88.578558
Cheley Colorado Camps,3960 Fish Creek RdEstes Park,"Independent, For Profit",,Cheley Colorado Camps Inc,Estes  Park,CO,Accredited Member,1.0,80517-8607,"3960 Fish Creek RdEstes Park, Estes  Park, CO, 80517-8607, USA",40.3198821,-105.5274937
Wanakee,75 Upper New Hampton Rd,United Methodist,Rev. Evan McElreath,New England Conference Centers (UMCRM),Meredith,NH,Accredited Member,1.0,03253-4217,"75 Upper New Hampton Rd, Meredith, NH, 03253-4217, USA",43.609734,-71.582335
Greenwood Trails,390 Winchester Rd,"Independent, For Profit",Owen Langbart,Greenwood Trails Summer Camp,Winsted,CT,Accredited Member,1.0,06098-2547,"390 Winchester Rd, Winsted, CT, 06098-2547, USA",41.916827,-73.1087043
Ogichi Daa Kwe,2144 County Road 137,"Independent, Not for Profit",Johanna Ernst,Camping & Education Foundation,International Falls,MN,Accredited Member,1.0,56649-8830,"2144 County Road 137, International Falls, MN, 56649-8830, USA",48.600586,-93.218372
Kamp Kaleo,46872 Willow Springs Rd,United Church of Christ,David Butz,Kaleo On The River,Burwell,NE,Accredited Member,1.0,46872,"46872 Willow Springs Rd, Burwell, NE, 46872, USA",41.7752513,-99.0946151
Camp Alonim,1101 Pepper Tree LnBrandeis,"Jewish, Other",Josh Levine,Camp Alonim (Operator),Simi Valley,CA,Accredited Member,1.0,93064-0002,"1101 Pepper Tree LnBrandeis, Simi Valley, CA, 93064-0002, USA",34.2581773,-118.7100061
Camp Ramapo,22 Camp Ramapo RdRhinebeck,"Independent, Not for Profit",Lenora Seeley,Ramapo for Children Inc,RHINEBECK,NY,Accredited Member,1.0,12572-3016,"22 Camp Ramapo RdRhinebeck, RHINEBECK, NY, 12572-3016, USA",41.947038,-73.846085
Camp Edward L Kopszywa - ELK,21280 Big Pines Hwy,YMCA,Jim Emery,YMCA of Orange County,Wrightwood,CA,Accredited Member,1.0,21280,"21280 Big Pines Hwy, Wrightwood, CA, 21280, USA",34.3977293,-117.7477033
Camp Jeanne d'Arc,154 Gadway Rd,"Independent, For Profit","Sandy Abbott, Randy Abbott","Camp JDA, LLC",Merrill,NY,Accredited Member,1.0,12955-2304,"154 Gadway Rd, Merrill, NY, 12955-2304, USA",44.7704214,-73.98503
Camp Timber Tops,1620 Route 6,"Independent, For Profit",Anna Black Morin,Pine Forest Camp CO LLC,Greeley,PA,Accredited Member,1.0,18425-9635,"1620 Route 6, Greeley, PA, 18425-9635, USA",41.4084183,-75.0413102
Falling Creek Camp Inc,816 Falling Creek Camp Rd,"Independent, For Profit",Yates and Marisa Pharr,Falling Creek Camp Inc (Operator),Zirconia,NC,Accredited Member,1.0,28790,"816 Falling Creek Camp Rd, Zirconia, NC, 28790, USA",35.1887982,-82.478031
Camp Wayne for Boys and Girls,56 Nice People Pl,"Independent, For Profit",Matt Brown,Camp Wayne for Boys and Girls (Operator),Preston Park,PA,Accredited Member,1.0,18455-1005,"56 Nice People Pl, Preston Park, PA, 18455-1005, USA",41.868224,-75.34570099999999
International Riding Camp,"200 Birchall Rd,  12435-","Independent, For Profit",Arno Mares,International Riding Camp (Operator),Greenfield Park,NY,Accredited Member,1.0,12435,"200 Birchall Rd,  12435-, Greenfield Park, NY, 12435, USA",41.7367632,-74.4841107
Windridge at Teela Wooket,1215  Rd,"Independent, For Profit",Norbert Auger,Windridge Tennis and Sport Camps,Roxbury,VT,Accredited Member,1.0,05669-9809,"1215  Rd, Roxbury, VT, 05669-9809, USA",44.0229987,-72.747563
Netop Summer Camp,12 Netop Rd,"Independent, For Profit",Lisa Thatcher,Netop Summer Camp (Operator),Casco,ME,Accredited Member,1.0,04015-4042,"12 Netop Rd, Casco, ME, 04015-4042, USA",43.9833419,-70.4837305
Harrisburg Diabetic Youth Camp,2905 Camp Swatara Road,Diabetes Education & Camping Association,Sarah Shuff,Setebaid Services Inc,Bethel,PA,Accredited Member,1.0,19507,"2905 Camp Swatara Road, Bethel, PA, 19507, USA",40.4963682,-76.37304859999999
Outlaw Ranch,12703 Outlaw Ranch Rd,"Lutheran, ELCA",Matt Rusch,Lutherans Outdoors in South Dakota (LOM),Custer,SD,Accredited Member,1.0,12703,"12703 Outlaw Ranch Rd, Custer, SD, 12703, USA",43.7834551,-103.5178481
YMCA Camp Lawrence,187 Bear Is,YMCA,Charles Seifert,Merrimack Valley YMCA Camping Services,Meredith,NH,Accredited Member,1.0,03253-7400,"187 Bear Is, Meredith, NH, 03253-7400, USA",43.6478158,-71.49514169999999
James 4-H Camp and Outdoor Learning Center,,4-H Clubs,Adam Yarnes,University of Arizona Cooperative Ext James 4-H Ca,Prescott Valley,AZ,Accredited Member,1.0,,"nan, Prescott Valley, AZ, nan, USA",34.6096777,-112.315259
Sierra Sleep-Away,Rolling Hills Estates,"Independent, Not for Profit",Heather Hibbeler,"Peninsula Activities, Inc.",Bass Lake,CA,Accredited Member,1.0,,"Rolling Hills Estates, Bass Lake, CA, nan, USA",33.7877943,-118.3581284
Wyonegonic Camps,215 Wyonegonic Rd,"Independent, For Profit",Steven Sudduth,Wyonegonic Camps (Operator),Denmark,ME,Accredited Member,1.0,04022-7020,"215 Wyonegonic Rd, Denmark, ME, 04022-7020, USA",43.9955284,-70.79418679999999
Camp Highlander,42 Dalton Rd,"Independent, For Profit",Bryan & Melissa Fitzgerald,Camp Highlander (Operator),Horse Shoe,NC,Accredited Member,1.0,28742-9759,"42 Dalton Rd, Horse Shoe, NC, 28742-9759, USA",35.3726572,-82.6231236
Camp Winnarainbow,"50350 N Hwy 101,  95454-","Independent, Not for Profit","Yatiel Owens, MSW",Camp Winnarainbow (Operator),Laytonville,CA,Accredited Member,1.0,50350,"50350 N Hwy 101,  95454-, Laytonville, CA, 50350, USA",39.75329199999999,-123.5363104
Camp YI,599 Jones Mill Rd,"Independent, Not for Profit",Kim Hutchison,Youth Incorporated,La Vergne,TN,Accredited Member,1.0,37086-2857,"599 Jones Mill Rd, La Vergne, TN, 37086-2857, USA",36.0659654,-86.5127698
Hiram House Camp,33775 Hiram Trl,"Independent, Not for Profit",Ken Fortuna,The Hiram House,Chagrin Falls,OH,Accredited Member,1.0,33775,"33775 Hiram Trl, Chagrin Falls, OH, 33775, USA",41.449229,-81.4449759
International Gymnastics Camp,100 Gymnastics WayStroudsburg,"Independent, For Profit",Brent Klaus,Brent Klaus (Operator),STROUDSBURG,PA,Accredited Member,1.0,18360-7954,"100 Gymnastics WayStroudsburg, STROUDSBURG, PA, 18360-7954, USA",40.9954353,-75.332241
Camp Pennyroyal,3095 Girl Scout Rd,,,Girl Scouts - Kentuckiana,Utica,KY,Accredited Member,1.0,42376-9358,"3095 Girl Scout Rd, Utica, KY, 42376-9358, USA",37.602082,-87.0127289
Camp 180 - ADA,210 Los Pinetos Rd Unit ATorreon,American Diabetes Association,Emily O'Hara,American Diabetes Association - National Office (Accredited Camps),Capitan,NM,Accredited Member,1.0,87061-7068,"210 Los Pinetos Rd Unit ATorreon, Capitan, NM, 87061-7068, USA",34.6876008,-106.3516439
Camp Onaway,27 Camp Onaway Dr,,,Onaway Camp Trust,Hebron,NH,Accredited Member,1.0,03241-7434,"27 Camp Onaway Dr, Hebron, NH, 03241-7434, USA",43.686972,-71.771529
Camp Woodland For Girls,8080 Camp Rd,,,Camp Woodland,Eagle River,WI,Accredited Member,1.0,54521-8184,"8080 Camp Rd, Eagle River, WI, 54521-8184, USA",45.85861560000001,-89.40146159999999
JCC Ranch Camp,21441 N  Rd,Jewish Community Center,Miriam and Gilad Shwartz,Staenberg-Loup JCC (JCCA),Elbert,CO,Accredited Member,1.0,21441,"21441 N  Rd, Elbert, CO, 21441, USA",38.8426821,-107.9638292
Lake Wenatchee YMCA Camp,15263 N Shore Dr,YMCA,Tim McElravy,Wenatchee Valley YMCA,Leavenworth,WA,Accredited Member,1.0,15263,"15263 N Shore Dr, Leavenworth, WA, 15263, USA",47.81606679999999,-120.7402969
Camp Vega,317 Echo Lake Rd,"Independent, For Profit","Linda, Kyle and Emily Couritss",Vega (Operator),Fayette,ME,Accredited Member,1.0,04349-3209,"317 Echo Lake Rd, Fayette, ME, 04349-3209, USA",44.4406039,-70.0310358
4-H Memorial Camp,499 Old Timber Rd,4-H Clubs,,University of Illinois,Monticello,IL,Accredited Member,1.0,61856-8280,"499 Old Timber Rd, Monticello, IL, 61856-8280, USA",40.00486360000001,-88.6524726
Camp Young Judaea Midwest,E989 Stratton Lake Rd,"Jewish, Other",Hannah Wallick,Camp Young Judaea,Waupaca,WI,Accredited Member,1.0,54981-9534,"E989 Stratton Lake Rd, Waupaca, WI, 54981-9534, USA",44.2962009,-89.1797598
Camp Herrlich,101 Deacon Smith Hill Rd,,,Mt Tremper Outdoor Ministries (Operator) (LOM),Patterson,NY,Accredited Member,1.0,12563-2920,"101 Deacon Smith Hill Rd, Patterson, NY, 12563-2920, USA",41.4785782,-73.6332031
Camp Robindel For Girls,81 Geneva Point Rd,"Independent, For Profit",Jolly Corley & Cori Daniels,New Camp Robindel LLC,Moultonborough,NH,Accredited Member,1.0,03254-4949,"81 Geneva Point Rd, Moultonborough, NH, 03254-4949, USA",43.67413579999999,-71.3379519
Yosemite Sierra Summer Camp,39515 Road 274,"Independent, For Profit",Steve and Sara Kuljis,Yosemite Sierra Summer Camp (Operator),Bass Lake,CA,Accredited Member,1.0,39515,"39515 Road 274, Bass Lake, CA, 39515, USA",37.3287556,-119.5470027
Camp Paradise Valley,1881 Salvation Army Rd,Salvation Army,Captain Bill Mockabee,The Salvation Army-Louisville,Burkesville,KY,Accredited Member,1.0,42717-8749,"1881 Salvation Army Rd, Burkesville, KY, 42717-8749, USA",36.7903399,-85.3705186
Boone and Crockett Club - Outdoor Adventure Camp,388 Upper Trm Ranch Rd,"Independent, Not for Profit",Luke Coccoli,The Boone and Crockett Club,Dupuyer,MT,Accredited Member,1.0,59432-9048,"388 Upper Trm Ranch Rd, Dupuyer, MT, 59432-9048, USA",48.1339762,-112.6487318
Camp Young Judaea,121 Camp Young Judea Dr,"Jewish, Other",Frank Silberlicht,Camp Young Judaea Texas,Wimberley,TX,Accredited Member,1.0,78676-2527,"121 Camp Young Judea Dr, Wimberley, TX, 78676-2527, USA",30.0270204,-98.1185813
Van Buren Youth Camp,,"Independent, Not for Profit",Dottie Myers-Hill,Van Buren Youth Camp (Operator),Bloomingdale,MI,Accredited Member,1.0,,"nan, Bloomingdale, MI, nan, USA",42.3828129,-85.95696749999999
YMCA Camp Tippecanoe,81300 Stewart RdTippecanoe,YMCA,Scott Weigley,YMCA of Central Stark County,North Canton,OH,Accredited Member,1.0,81300,"81300 Stewart RdTippecanoe, North Canton, OH, 81300, USA",40.875891,-81.4023356
Tim Horton Camp Kentahten,49 Kentahten Trl,,,Tim Horton Childrens Foundation,Campbellsville,KY,Accredited Member,1.0,42718-7297,"49 Kentahten Trl, Campbellsville, KY, 42718-7297, USA",37.28009590000001,-85.3286543
WVU-Jackson's Mill State 4-H Camp,160 U Jackson Ml,4-H Clubs,David Snively,WVU Jackson's Mill (Operator),Weston,WV,Accredited Member,1.0,26452-8011,"160 U Jackson Ml, Weston, WV, 26452-8011, USA",39.0807212,-80.4648726
Camp Sebago The Salvation Army,360 Barker RdStandish,Salvation Army,,The Salvation Army-Portland,Sebago Lake,ME,Accredited Member,1.0,04084-5655,"360 Barker RdStandish, Sebago Lake, ME, 04084-5655, USA",43.7844701,-70.54326060000001
